gcp_id,height_offset_m,rpc_col,rpc_row,rpc_error_px,rpc_error_m,gt_used_for_rpc_projection
gf7_esri_0001,-50.0,1309.3107558641823,6539.453541130548,11.771158901428283,7.607787435596618,False
gf7_esri_0002,-50.0,5121.726658808177,4947.233232442795,10.824094189826793,6.995592490070399,False
gf7_esri_0004,-50.0,1428.338508933306,6610.267772616047,11.75725226838594,7.598811161650062,False
gf7_esri_0005,-50.0,8831.834014281614,9989.948309067304,10.501791320802432,6.7872305763165635,False
gf7_esri_0006,-50.0,12658.254900066153,9419.363644844947,13.812041359829845,8.92656955170991,False
gf7_esri_0008,-50.0,16518.06237823936,14361.90138595716,10.40551746931172,6.724955022374665,False
gf7_esri_0011,-50.0,8802.352840087788,9530.358151423998,8.505600018555944,5.497092422159862,False
gf7_esri_0014,-50.0,12901.32240534676,14915.233212169755,8.854828339748888,5.7227940998180316,False
gf7_esri_0015,-50.0,8296.185823918831,1233.2216294351492,9.995774676601492,6.460177376154508,False
gf7_esri_0017,-50.0,8897.581449652309,9849.438163569486,10.4960935916241,6.783545838625181,False
gf7_esri_0018,-50.0,12564.639537699759,9541.449847182057,13.330873947084477,8.615599846536702,False
gf7_esri_0019,-50.0,8715.329860717728,13654.552282392096,11.095791723449643,7.17114497563264,False
gf7_esri_0020,-50.0,10786.307348001814,13808.759050363016,9.615846669714685,6.214643170297584,False
gf7_esri_0022,-50.0,1130.5451238567057,7673.4477385873415,11.784867854238794,7.616683565120043,False
gf7_esri_0023,-50.0,8749.686694373398,9692.52051894645,12.354901687066514,7.9848736902032,False
gf7_esri_0024,-50.0,12729.139197578497,9303.997553930827,14.011905047256718,9.055736250526047,False
gf7_esri_0026,-50.0,16199.066318897441,14518.381774219899,10.433320508202197,6.742920285890496,False
gf7_esri_0028,-50.0,2071.8838252723817,8828.20980290819,10.411361171386833,6.728900499933675,False
gf7_esri_0032,-50.0,14452.412317855393,15218.109379585501,10.02171377729345,6.4769232377791495,False
gf7_esri_0034,-50.0,8632.913313822826,10053.125660727292,10.518932383254949,6.798308057327276,False
gf7_esri_0035,-50.0,12842.599071900439,9361.06405841594,10.728124539149258,6.933464712484587,False
gf7_esri_0036,-50.0,9114.25300669141,13784.24486894731,11.060132890556794,7.148127461278093,False
gf7_esri_0037,-50.0,13014.968093736825,15064.894289786222,10.142494432757461,6.55500417707594,False
gf7_esri_0038,-50.0,8728.51292020992,1341.2599468097833,11.216528046167776,7.249130834591462,False
gf7_esri_0039,-50.0,8794.038452335062,10207.359762588128,10.505104418892143,6.789378040058718,False
gf7_esri_0040,-50.0,14660.661207635829,5885.289452249901,10.567183830690297,6.82939269469113,False
gf7_esri_0041,-50.0,8834.834691221804,14149.473057333975,16.714145946476954,10.802266434704505,False
gf7_esri_0042,-50.0,16076.509894110612,14592.05973927807,10.444012275611911,6.749831458520753,False
gf7_esri_0046,-50.0,9208.169457491647,13913.335004519555,10.468251363851781,6.765573250156904,False
gf7_esri_0047,-50.0,13640.826813343574,11006.690406898457,10.655668162418628,6.886634338554027,False
gf7_esri_0048,-50.0,9113.802368500927,1938.1838442100125,22.18267641980282,14.33640464489854,False
gf7_esri_0050,-50.0,9711.034226292099,9513.262604848851,11.721338624587254,7.57540882907589,False
gf7_esri_0051,-50.0,9636.696288680883,13744.103761670964,9.887142669769261,6.389993539963812,False
gf7_esri_0052,-50.0,16669.39126459325,14302.366320920297,9.836762685418911,6.35737380952897,False
gf7_esri_0054,-50.0,8434.6448305057,9085.749062312441,9.188257722224769,5.938336174539845,False
gf7_esri_0056,-50.0,8668.40022747527,13527.603160916005,11.09991364194755,7.173821791863168,False
gf7_esri_0057,-50.0,13448.613430792793,15212.165032443678,11.989170299172352,7.748463495249776,False
gf7_esri_0058,-50.0,9249.970331093054,2055.2139502046957,10.463621111364336,6.762520405668451,False
gf7_esri_0059,-50.0,8614.841587925495,9740.525080327056,11.723529908153658,7.57682548584941,False
gf7_esri_0062,-50.0,13299.252711285379,11586.075262309221,9.370678617220246,6.056145980744062,False
gf7_esri_0063,-50.0,9159.135884442327,1815.731298350729,22.393930442193966,14.472907605797431,False
gf7_esri_0064,-50.0,8730.049848011462,9314.114220539173,9.96209169070909,6.438430202558597,False
gf7_esri_0066,-50.0,9857.988609879736,13781.102260774485,10.412497337965581,6.729532168007155,False
gf7_esri_0067,-50.0,16026.422574671768,12604.283200792914,9.374261521367579,6.058474382754191,False
gf7_esri_0070,-50.0,14923.112353619948,8533.531458284328,11.14330036122693,7.201749272800091,False
gf7_esri_0071,-50.0,8516.356879343955,13208.768970401772,11.140000232908356,7.199734429782752,False
gf7_esri_0072,-50.0,12920.64940831664,15224.858041454398,10.091675023133227,6.522142817525214,False
gf7_esri_0073,-50.0,8420.120545086096,1266.1233275078957,11.738141591908187,7.586255869796146,False
gf7_esri_0075,-50.0,10228.20835852264,9456.619929495298,9.8381358373095,6.358299747295312,False
gf7_esri_0076,-50.0,8820.376707669097,13562.676901383236,11.624908580526414,7.51312285769894,False
gf7_esri_0077,-50.0,16016.411712706898,12431.126717140065,9.375009087957539,6.05895158421204,False
gf7_esri_0078,-50.0,9100.113291839158,1655.5614347327937,10.390980330413703,6.71559612218591,False
gf7_esri_0080,-50.0,10027.025815376182,10224.852084962677,10.397251037151445,6.719645360597273,False
gf7_esri_0081,-50.0,9133.877307334384,13503.91253041924,12.982423168788165,8.390470622684163,False
gf7_esri_0082,-50.0,12921.686364177003,14522.394169901318,9.42602959560296,6.091946357286923,False
gf7_esri_0084,-50.0,8980.746927146256,10060.078424641497,12.536914046960307,8.10252312339662,False
gf7_esri_0085,-50.0,12853.493783047088,6025.958864176175,10.155672642130401,6.5634679813827015,False
gf7_esri_0086,-50.0,9913.515944797453,11941.15909123191,9.8641190390083,6.375097866287869,False
gf7_esri_0088,-50.0,8404.710340670816,1108.2884101278687,21.09089419501443,13.630868761094861,False
gf7_esri_0089,-50.0,8553.943781707454,9004.050686789524,9.976445189222767,6.4477089651824375,False
gf7_esri_0091,-50.0,8494.461952742751,13628.082030083617,11.115498525495056,7.183902918998163,False
gf7_esri_0092,-50.0,15725.103084973702,14975.00207042925,9.91535510710073,6.40818194976965,False
gf7_esri_0093,-50.0,9286.756041957078,1924.9153098122442,9.914830335919433,6.407850526198125,False
gf7_esri_0094,-50.0,8175.437059510376,9799.267674120387,11.145530590987812,7.203285208946534,False
gf7_esri_0096,-50.0,9496.085074586259,15047.814077794374,9.898947247071309,6.397637596585005,False
gf7_esri_0097,-50.0,15989.289402813198,13048.515206743381,8.468556633759448,5.473122343227495,False
gf7_esri_0099,-50.0,3689.5351597455883,7285.145857779904,10.30372044896598,6.659302946387796,False
gf7_esri_0100,-50.0,9921.388948846274,9389.118603227114,9.863069720830065,6.374415967591581,False
gf7_esri_0102,-50.0,16232.197549691942,15127.432266166767,9.35881868659897,6.0484877104948715,False
gf7_esri_0103,-50.0,8428.929363576584,983.5056377394212,8.53706733758635,5.517400845448578,False
gf7_esri_0104,-50.0,9124.748955419442,9697.805205781795,11.060593968438512,7.1483769189687525,False
gf7_esri_0105,-50.0,9834.403401600877,9501.60171188357,12.463792130588175,8.055234840173924,False
gf7_esri_0106,-50.0,9441.882366630605,13818.586627067622,9.903054104091776,6.400279662514468,False
gf7_esri_0108,-50.0,8907.187208319985,1205.6043409596568,11.062127765269794,7.149339724729716,False
gf7_esri_0109,-50.0,8307.874541745963,9264.296178939281,8.69922945521273,5.622253491383386,False
gf7_esri_0110,-50.0,11241.015970167944,11071.599372582903,7.978440419891069,5.156393518838095,False
gf7_esri_0111,-50.0,9332.178826272535,15121.789685054158,9.912357780832082,6.406300287515111,False
gf7_esri_0112,-50.0,11837.888618841014,15320.394267703276,10.816223683024466,6.990442972646488,False
gf7_esri_0113,-50.0,8159.93616798181,7564.550107661164,11.146048178959337,7.203613286031795,False
gf7_esri_0115,-50.0,9311.231926455745,14995.550296928839,9.914014634797443,6.407383810626832,False
gf7_esri_0116,-50.0,8456.147901829034,9898.324926323841,9.984723662314943,6.453056607652466,False
gf7_esri_0118,-50.0,8262.955086696804,13583.365521678541,11.324224673424494,7.31880886321579,False
gf7_esri_0119,-50.0,8044.344899343034,9248.328949249284,11.15705122446011,7.210735659859699,False
gf7_esri_0120,-50.0,13110.343728891725,5910.384835213639,10.13396414418729,6.549434806272541,False
gf7_esri_0121,-50.0,7894.650157798738,13451.83980678635,7.435756186907893,4.805700806680145,False
gf7_esri_0122,-50.0,9329.798314539625,11265.057362845631,11.042881471884726,7.136939645153382,False
gf7_esri_0123,-50.0,13063.175042318864,8936.651844690341,10.708552184553922,6.920800914082484,False
gf7_esri_0124,-50.0,8475.465806503655,13452.769987063626,11.305489071966454,7.306690324275581,False
gf7_esri_0126,-50.0,11514.865896304453,11012.641266673001,8.2593637295558,5.337937546575766,False
gf7_esri_0127,-50.0,7605.772793452943,13162.575497071299,8.756361373272926,5.659182263562167,False
gf7_esri_0129,-50.0,10970.010853670614,11069.119227936619,10.894379896958945,7.040936364533904,False
gf7_esri_0130,-50.0,9335.617761030873,14854.798088182952,8.83367231905219,5.709131321716548,False
gf7_esri_0131,-50.0,7152.424265749787,6799.820042845347,9.966365097860582,6.4412078707666645,False
gf7_esri_0132,-50.0,15681.973713597685,7073.648072798307,11.216370322921094,7.248963222244651,False
gf7_esri_0133,-50.0,8491.913900825057,13815.854579941803,9.980772139490648,6.450534616242523,False
gf7_esri_0134,-50.0,8694.808671163428,9868.887513968391,10.513563933865717,6.7948265178189695,False
gf7_esri_0135,-50.0,9340.444344779266,6221.221787542056,11.037484509476807,7.133433599198908,False
gf7_esri_0137,-50.0,8783.852845841226,10424.863653937498,11.708237818611282,7.5669491508119515,False
gf7_esri_0139,-50.0,9184.108213512518,14697.11584304863,9.924358526921154,6.414045953432566,False
gf7_esri_0141,-50.0,12784.214639916987,9520.207352937206,10.733324289424367,6.9368299310708785,False
gf7_esri_0142,-50.0,9256.43508969176,13788.282913088773,11.04751906362596,7.13993440544599,False
gf7_esri_0146,-50.0,8830.81956943989,9059.573450917262,9.953770405587054,6.4330477565581905,False
gf7_esri_0148,-50.0,8890.016028238797,13274.345211256354,11.792548220361565,7.6214587856891525,False
gf7_esri_0149,-50.0,8449.060566470906,9730.623722999044,11.738798983153812,7.586704631797582,False
gf7_esri_0150,-50.0,15096.176439451789,8495.645121467165,10.530054203630451,6.805413690068608,False
gf7_esri_0151,-50.0,8895.049989769266,14257.19661408487,15.136740178248784,9.782754897244622,False
gf7_esri_0153,-50.0,14766.057198781331,5787.1696608261755,10.557904968010785,6.823404703711318,False
gf7_esri_0154,-50.0,8968.148372609261,14436.018391715943,9.941929941375976,6.425417573443125,False
gf7_esri_0157,-50.0,8456.539653929518,13327.841195731027,9.983545311518165,6.45232410783911,False
gf7_esri_0159,-50.0,10055.977414247138,9548.381714407564,9.852174526107731,6.367365843365806,False
gf7_esri_0160,-50.0,9652.449354639277,13911.99082289547,10.430157636048238,6.7409411571560955,False
gf7_esri_0161,-50.0,5376.795629160122,7162.349284508826,10.139150295345896,6.5529034593516355,False
gf7_esri_0162,-50.0,13570.895193505548,10690.543406720704,11.898810474239339,7.690072375478815,False
gf7_esri_0163,-50.0,8948.13339037409,14706.055025578717,12.537834119958461,8.10314602174666,False
gf7_esri_0164,-50.0,5702.592554773884,11110.374766862125,10.212670779786855,6.600459580620569,False
gf7_esri_0165,-50.0,12366.187554943277,9423.204915474189,10.770186647256514,6.960646550419142,False
gf7_esri_0166,-50.0,8912.457086925475,14558.472952614678,11.243541921257753,7.266654361826268,False
gf7_esri_0169,-50.0,8703.495792854443,14122.747143982677,19.30921353669512,12.479490215587264,False
gf7_esri_0170,-50.0,8764.125901365447,7352.976971024631,10.506752246606183,6.7904260387557,False
gf7_esri_0174,-50.0,13314.233039473844,10823.850167673314,9.371536798341417,6.056711465402867,False
