method,method_label_cn,gcp_count,bytes_per_gcp_mean,bytes_per_gcp_median,compression_ratio_mean,cross_sensor_reuse_at_1px,cross_sensor_reuse_at_2px,cross_sensor_reuse_at_5px,false_match_rate_10px,catastrophic_rate_50px,integer_rmse_px,integer_median_error_px,integer_p90_error_px,integer_p95_error_px,subpixel_rmse_px,subpixel_median_error_px,fine_boundary_rate,median_match_margin
raw_gray_ncc,原始灰度 NCC,124,65536.0,65536.0,1.0,0.016129032258064516,0.0967741935483871,0.33064516129032256,0.532258064516129,0.27419354838709675,234.77747788488253,10.709969264501332,474.47025044850307,574.5099018276978,234.7789392748016,10.740101393038644,0.04838709677419355,0.0052617788314819
raw_scharr_ncc,原始 Scharr NCC,124,65536.0,65536.0,1.0,0.5,0.9032258064516129,0.9596774193548387,0.024193548387096774,0.0,2.453560607903639,1.0001504897279607,1.9263861167377891,4.3077107163029975,2.385562339082507,0.8621916714531719,0.024193548387096774,0.02383717894554135
compact_64B_orientation_l1,64 B 方向空间码 / L1,124,64.0,64.0,1024.0,0.03225806451612903,0.0967741935483871,0.3387096774193548,0.21774193548387097,0.04838709677419355,99.89794165786788,6.873501614271628,13.436345726040658,17.939462637286166,99.89233768856262,6.795587464837171,0.06451612903225806,0.0026041567325592
compact_128B_dct_sign_hamming,128 B DCT 符号码 / Hamming,124,128.0,128.0,512.0,0.0,0.0,0.16129032258064516,0.6129032258064516,0.29838709677419356,242.34823053616185,12.656810955367309,505.7490815931313,568.1417165060392,242.3403362336353,12.49029020522832,0.20967741935483872,0.004887580871582
compact_256B_mag_orientation_hamming,256 B 幅值方向空间码 / Hamming,124,256.0,256.0,256.0,0.07258064516129033,0.22580645161290322,0.7741935483870968,0.056451612903225805,0.04032258064516129,110.44041096714561,3.2225647829322597,7.117633061660513,13.589758444825897,110.44780908715025,3.180271101196255,0.18548387096774194,0.00390625
webp_q30_ncc,WebP Q30 + Scharr NCC,124,4019.2258064516127,4120.0,17.261736624236953,0.3951612903225806,0.8467741935483871,0.9193548387096774,0.024193548387096774,0.0,2.738523643267029,1.1256872189330949,3.1134410344949166,6.840624813351619,2.638110115055163,0.9383446628595462,0.016129032258064516,0.021640121936798096
jpeg2000_100_ncc,JPEG2000 100 + Scharr NCC,124,6491.685483870968,6507.5,10.096459357995066,0.47580645161290325,0.8709677419354839,0.9354838709677419,0.024193548387096774,0.0,2.519415609931564,1.015071627176325,2.57652109102491,5.390483850527276,2.4568292032687964,0.8974478444473264,0.016129032258064516,0.021731555461883545
compact_128B_multiscale_dct_sign_hamming,128 B 四尺度 DCT 符号码 / Hamming,124,128.0,128.0,512.0,0.0,0.008064516129032258,0.0967741935483871,0.7016129032258065,0.43548387096774194,280.14984765391955,20.171095512457423,520.2324288333339,567.3774017244226,280.1622284968784,20.032371092237547,0.20967741935483872,0.0049019455909729
