mode,gcp_count,success_2px,success_5px,rmse_px,median_error_px,p95_error_px
fixed_pixel_identity,30,0.0,0.0,390.70696654689266,389.56423532145834,573.6532097593891
rotation_only_unit_scale,30,0.0,0.0,354.9756488017868,331.44666074972656,575.7145217527711
isotropic_scale_no_rotation,30,0.0,0.0,310.1826740296251,226.23760279145588,557.6998054469323
rpc_full_local_affine,30,0.8666666666666667,1.0,1.3380005282711707,0.421765441951335,3.0252242784413945
rpc_affine_plus_score_selected_rotation_scale,30,0.8666666666666667,1.0,1.3380005282711707,0.421765441951335,3.0252242784413945
