method,method_label_cn,split,bias_model,gcp_count,icp_count,gcp_ransac_inlier_count,gcp_ransac_inlier_ratio,geometrically_verified_reuse_rate,before_rmse_x_px,before_rmse_y_px,before_rmse_2d_px,before_median_error_px,before_p90_error_px,before_p95_error_px,before_rmse_2d_m,before_median_error_m,before_ce90_m,before_p95_error_m,after_rmse_x_px,after_rmse_y_px,after_rmse_2d_px,after_median_error_px,after_p90_error_px,after_p95_error_px,after_rmse_2d_m,after_median_error_m,after_ce90_m,after_p95_error_m,parameters,split_uses_rpc_coordinates_only,icp_not_used_for_bias_fit
raw_gray_ncc,原始灰度 NCC,0,translation,100,24,14,0.14,0.11290322580645161,8.17818338082941,2.0687489967833104,8.435781281076833,8.045778673328279,10.643970835394429,11.597802887281816,5.4519857066810395,5.199899503796688,6.87910502005879,7.495595712022296,5.574856589982075,4.53014674168801,7.183401387928498,7.390485263603066,8.408082299775408,8.518765965513026,4.642582668680646,4.776396966480155,5.434131541276948,5.505660250787579,"{""kind"":""translation"",""coefficients"":[-13.37874622866158,-2.8550589829295956],""centre"":[10106.673931278063,10419.802665420139],""scale"":[15389.150055266278,14336.889124427942]}",True,True
raw_gray_ncc,原始灰度 NCC,0,affine,100,24,28,0.28,0.22580645161290322,8.17818338082941,2.0687489967833104,8.435781281076833,8.045778673328279,10.643970835394429,11.597802887281816,5.4519857066810395,5.199899503796688,6.87910502005879,7.495595712022296,2.339446981175504,2.9022325240413025,3.7277293090210195,3.4572290909012318,4.946418285630746,5.414192572204576,2.4092088890450203,2.2343696030184335,3.1968435183359643,3.4992000141781463,"{""kind"":""affine"",""coefficients"":[[-9.596885940130793,-0.9825995047719163],[1.1025923961509645,1.0256331853341085],[1.3817230156335687,0.48067773084188054]],""centre"":[10106.673931278063,10419.802665420139],""scale"":[15389.150055266278,14336.889124427942]}",True,True
raw_gray_ncc,原始灰度 NCC,1,translation,100,24,24,0.24,0.1935483870967742,8.395575231953076,2.2954639273083877,8.703725530883771,8.405634546159241,9.28248633257924,10.751221568040233,5.6251464791708905,5.4324798712571045,5.999178568611355,6.948396432599555,8.23626908211236,5.9299535520914795,10.148915090930771,10.155723820268442,12.05213405681328,12.173211640394788,6.559172626553349,6.56352482443314,7.789173762704555,7.867398752755294,"{""kind"":""translation"",""coefficients"":[-15.91687739318113,-4.047418802333705],""centre"":[10106.710274662273,10383.59344540793],""scale"":[15210.365471710013,14212.10636526954]}",True,True
raw_gray_ncc,原始灰度 NCC,1,affine,100,24,30,0.3,0.24193548387096775,8.395575231953076,2.2954639273083877,8.703725530883771,8.405634546159241,9.28248633257924,10.751221568040233,5.6251464791708905,5.4324798712571045,5.999178568611355,6.948396432599555,8.474071723805594,5.422142631057998,10.060294344189838,9.356619469676808,14.096865836957015,15.673382977225929,6.501935535186078,6.047118975867256,9.110798397828736,10.129739157938914,"{""kind"":""affine"",""coefficients"":[[-15.006638865519735,-3.153654564825173],[14.962428436021442,6.185798867879938],[1.2844388966514129,1.4165591374598]],""centre"":[10106.710274662273,10383.59344540793],""scale"":[15210.365471710013,14212.10636526954]}",True,True
raw_gray_ncc,原始灰度 NCC,2,translation,100,24,21,0.21,0.1693548387096774,8.056684260676064,2.287942368107579,8.375251730903804,8.018193854103192,9.098723211560976,9.455432296372127,5.41286346734223,5.182158703742508,5.880436363509124,6.110949688420141,7.75146511054518,5.561636562766675,9.540283675882092,9.580911913320948,10.958310306493717,11.185696596715978,6.165818375649671,6.192033302255442,7.082309314200694,7.229232792195612,"{""kind"":""translation"",""coefficients"":[-15.405546902690773,-3.777164153615764],""centre"":[10158.670821099608,10449.704565449598],""scale"":[15389.150055266278,14336.889124427942]}",True,True
raw_gray_ncc,原始灰度 NCC,2,affine,100,24,26,0.26,0.20967741935483872,8.056684260676064,2.287942368107579,8.375251730903804,8.018193854103192,9.098723211560976,9.455432296372127,5.41286346734223,5.182158703742508,5.880436363509124,6.110949688420141,3.492719479200994,3.482936597549042,4.932538565782995,4.114528313601035,7.167653496430722,8.091471873176117,3.1878696843839753,2.6591908628335874,4.632401109011951,5.229465109859113,"{""kind"":""affine"",""coefficients"":[[-10.415435706661055,-1.3702675018016546],[0.4794550652017509,1.0680642443324178],[9.262831404772662,5.228682153089804]],""centre"":[10158.670821099608,10449.704565449598],""scale"":[15389.150055266278,14336.889124427942]}",True,True
raw_gray_ncc,原始灰度 NCC,3,translation,100,24,22,0.22,0.1774193548387097,8.36196187380896,2.255262060191252,8.66075131493641,8.405223472840483,11.51185862442593,12.242625172517492,5.5973711211298065,5.432227570827489,7.440034129271362,7.912283626442942,8.0450165252624,6.0514357984443,10.066884628048456,10.549658503928411,11.219441266028493,12.004026622710823,6.506148870298997,6.8181321685789635,7.251138650501823,7.7581400236252795,"{""kind"":""translation"",""coefficients"":[-15.987655640600265,-4.10157226268099],""centre"":[10068.279649422473,10467.183462981986],""scale"":[15540.494999322784,14336.889124427942]}",True,True
raw_gray_ncc,原始灰度 NCC,3,affine,100,24,27,0.27,0.21774193548387097,8.36196187380896,2.255262060191252,8.66075131493641,8.405223472840483,11.51185862442593,12.242625172517492,5.5973711211298065,5.432227570827489,7.440034129271362,7.912283626442942,7.168293259409086,4.075071504906755,8.24564345718348,6.615694352943832,13.52696219898668,14.3688565105516,5.329104661690882,4.275679642307475,8.742315581673843,9.28659222532424,"{""kind"":""affine"",""coefficients"":[[-8.62969761326406,-0.9276560088235284],[28.38437110206858,9.513640042165509],[9.49535564272186,4.711208279208808]],""centre"":[10068.279649422473,10467.183462981986],""scale"":[15540.494999322784,14336.889124427942]}",True,True
raw_gray_ncc,原始灰度 NCC,4,translation,100,24,22,0.22,0.1774193548387097,8.338431391182128,2.231240201099444,8.631794187795132,8.018193854103192,11.499422351264123,12.242625172517492,5.578661751522963,5.182158703742508,7.432016775369327,7.912283626442942,4.19859432448585,4.301232973463128,6.01072369965641,5.958764778385969,7.237708317068616,7.239715261959208,3.8846854730089504,3.8510740745663536,4.677705261964594,4.678948052082197,"{""kind"":""translation"",""coefficients"":[-11.981288241932589,-2.3140133526522817],""centre"":[10093.949872383686,10455.975970022886],""scale"":[15540.494999322784,14336.889124427942]}",True,True
raw_gray_ncc,原始灰度 NCC,4,affine,100,24,27,0.27,0.21774193548387097,8.338431391182128,2.231240201099444,8.631794187795132,8.018193854103192,11.499422351264123,12.242625172517492,5.578661751522963,5.182158703742508,7.432016775369327,7.912283626442942,3.877378784347776,3.883944013253179,5.488085944607231,4.272904801889771,9.61990101239151,9.867944710812527,3.5469164051471056,2.7615374305156166,6.217290477588904,6.3776463461741075,"{""kind"":""affine"",""coefficients"":[[-10.162742076941864,-1.2188419439738376],[5.613866471126115,3.55908454219439],[8.802705743004566,4.763431318618635]],""centre"":[10093.949872383686,10455.975970022886],""scale"":[15540.494999322784,14336.889124427942]}",True,True
