method,method_label_cn,gcp_count,bytes_per_gcp_mean,bytes_per_gcp_median,compression_ratio_mean,cross_sensor_reuse_at_1px,cross_sensor_reuse_at_2px,cross_sensor_reuse_at_5px,false_match_rate_10px,catastrophic_rate_50px,integer_rmse_px,integer_median_error_px,integer_p90_error_px,integer_p95_error_px,subpixel_rmse_px,subpixel_median_error_px,fine_boundary_rate,median_match_margin,icp_affine_rmse_2d_m_median,icp_affine_rmse_2d_m_mean,icp_affine_ce90_m_median,rpc_before_rmse_2d_m_median,geometrically_verified_reuse_rate,ransac_inlier_ratio
raw_gray_ncc,原始灰度 NCC,124,65536.0,65536.0,1.0,0.0161290322580645,0.0967741935483871,0.3306451612903225,0.532258064516129,0.2741935483870967,234.77747788488253,10.709969264501332,474.4702504485031,574.5099018276978,234.7789392748016,10.740101393038644,0.0483870967741935,0.0052617788314819,3.5469164051471056,4.195007035090613,6.217290477588904,5.578661751522963,0.2661290322580645,0.2661290322580645
raw_scharr_ncc,原始 Scharr NCC,124,65536.0,65536.0,1.0,0.5,0.9032258064516128,0.9596774193548387,0.0241935483870967,0.0,2.453560607903639,1.0001504897279607,1.9263861167377887,4.3077107163029975,2.385562339082507,0.8621916714531719,0.0241935483870967,0.0238371789455413,1.5504565985291507,1.5948920072781487,2.5962261561547755,5.578661751522963,0.9516129032258065,0.9516129032258065
compact_64B_orientation_l1,64 B 方向空间码 / L1,124,64.0,64.0,1024.0,0.032258064516129,0.0967741935483871,0.3387096774193548,0.2177419354838709,0.0483870967741935,99.89794165786788,6.873501614271628,13.436345726040658,17.939462637286166,99.89233768856262,6.795587464837171,0.064516129032258,0.0026041567325592,4.4895011023398705,4.563454560342512,5.68018819066945,5.578661751522963,0.20967741935483872,0.20967741935483872
compact_128B_dct_sign_hamming,128 B DCT 符号码 / Hamming,124,128.0,128.0,512.0,0.0,0.0,0.1612903225806451,0.6129032258064516,0.2983870967741935,242.34823053616185,12.656810955367307,505.7490815931313,568.1417165060392,242.3403362336353,12.49029020522832,0.2096774193548387,0.004887580871582,7.316624419285653,7.281567477404519,9.48782777663877,5.578661751522963,0.25,0.25
compact_256B_mag_orientation_hamming,256 B 幅值方向空间码 / Hamming,124,256.0,256.0,256.0,0.0725806451612903,0.2258064516129032,0.7741935483870968,0.0564516129032258,0.0403225806451612,110.4404109671456,3.22256478293226,7.117633061660513,13.589758444825897,110.44780908715023,3.180271101196255,0.1854838709677419,0.00390625,1.7745932472927244,1.7509554219578785,2.564017646222058,5.578661751522963,0.5483870967741935,0.5483870967741935
webp_q30_ncc,WebP Q30 + Scharr NCC,124,4019.2258064516127,4120.0,17.261736624236953,0.3951612903225806,0.8467741935483871,0.9193548387096774,0.0241935483870967,0.0,2.738523643267029,1.1256872189330949,3.1134410344949166,6.840624813351619,2.638110115055163,0.9383446628595462,0.0161290322580645,0.021640121936798,1.5540185360887386,1.5938321512734905,2.6272817927419108,5.578661751522963,0.8951612903225806,0.8951612903225806
jpeg2000_100_ncc,JPEG2000 100 + Scharr NCC,124,6491.685483870968,6507.5,10.096459357995066,0.4758064516129032,0.8709677419354839,0.935483870967742,0.0241935483870967,0.0,2.519415609931564,1.015071627176325,2.57652109102491,5.390483850527276,2.4568292032687964,0.8974478444473264,0.0161290322580645,0.0217315554618835,1.5512420351524123,1.590332104019564,2.5646984574946607,5.578661751522963,0.9354838709677419,0.9354838709677419
compact_128B_multiscale_dct_sign_hamming,128 B 四尺度 DCT 符号码 / Hamming,124,128.0,128.0,512.0,0.0,0.0080645161290322,0.0967741935483871,0.7016129032258065,0.4354838709677419,280.14984765391955,20.171095512457423,520.2324288333339,567.3774017244226,280.1622284968784,20.032371092237547,0.2096774193548387,0.0049019455909729,7.281486918886477,6.837471349691777,10.142039738658543,5.578661751522963,0.11290322580645161,0.11290322580645161
