method,family,distance,grid_size,bits,quantization,weighting,search_radius_px,bytes_per_patch,compression_ratio,recall_0_5px,recall_1px,recall_2px,recall_5px,recall_at_1_0_5px,recall_at_1_1px,recall_at_1_5px,top1_matching_success_2px,recall_at_1_2px,integer_recall_1px,integer_recall_2px,recall_at_5_0_5px,recall_at_5_1px,recall_at_5_2px,recall_at_5_5px,rmse_px,median_error_px,p95_error_px,catastrophic_failure_rate_gt5px,catastrophic_failure_rate_gt10px,evaluated_pairs,failed_pairs,shared_model_bytes,train_gcp_count,test_gcp_count,spatially_disjoint_test,training_time_source,heldout_target_used_for_training
tiny_spatial_encoder_16x16x1_32B_hamming_r64,tiny_spatial_encoder,binary_hamming,16,1,sign_1bit,learned_selection_time,64,32.0,2048.0,0.05555555555555555,0.21428571428571427,0.4603174603174603,0.873015873015873,0.05555555555555555,0.21428571428571427,0.873015873015873,0.4603174603174603,0.4603174603174603,0.1746031746031746,0.46825396825396826,0.09523809523809523,0.38095238095238093,0.7777777777777778,0.9365079365079365,17.850675585974276,2.146097193418975,50.80787564142037,0.12698412698412698,0.07142857142857142,126,0,3383,593,126,True,selection_only,False
tiny_spatial_encoder_16x16x2_64B_hamming_r64,tiny_spatial_encoder,binary_hamming,16,1,sign_1bit,learned_selection_time,64,64.0,1024.0,0.1111111111111111,0.2777777777777778,0.5793650793650794,0.9047619047619048,0.1111111111111111,0.2777777777777778,0.9047619047619048,0.5793650793650794,0.5793650793650794,0.19047619047619047,0.5,0.1349206349206349,0.42063492063492064,0.8412698412698413,0.9365079365079365,16.28693656877987,1.7026074089208132,46.43194708748946,0.09523809523809523,0.07142857142857142,126,0,3703,593,126,True,selection_only,False
tiny_spatial_encoder_16x16x4_128B_hamming_r64,tiny_spatial_encoder,binary_hamming,16,1,sign_1bit,learned_selection_time,64,128.0,512.0,0.10317460317460317,0.3253968253968254,0.6587301587301587,0.9047619047619048,0.10317460317460317,0.3253968253968254,0.9047619047619048,0.6587301587301587,0.6587301587301587,0.2619047619047619,0.6111111111111112,0.1349206349206349,0.4603174603174603,0.8571428571428571,0.9523809523809523,17.007090132236264,1.443251030042551,59.31964522624155,0.09523809523809523,0.06349206349206349,126,0,4289,593,126,True,selection_only,False
tiny_spatial_encoder_16x16x8_256B_hamming_r64,tiny_spatial_encoder,binary_hamming,16,1,sign_1bit,learned_selection_time,64,256.0,256.0,0.1746031746031746,0.42063492063492064,0.7698412698412699,0.9285714285714286,0.1746031746031746,0.42063492063492064,0.9285714285714286,0.7698412698412699,0.7698412698412699,0.36507936507936506,0.7142857142857143,0.1746031746031746,0.5555555555555556,0.8968253968253969,0.9523809523809523,16.24622662412967,1.1671912490670602,7.235089981974155,0.07142857142857142,0.047619047619047616,126,0,5441,593,126,True,selection_only,False
