soft_ratio_bin,gcp_count,mean_soft_ratio,median_soft_ratio,recall_audit_high_gt,median_distance_to_soft_m
0-10%,11,0.0638427734375,0.07244873046875,0.36363636363636365,80.62257748298549
10-25%,126,0.18798258947947669,0.1876678466796875,0.8571428571428571,50.495097567963924
25-50%,315,0.3682674831814236,0.361419677734375,0.926984126984127,41.23105625617661
50-75%,189,0.6061515202597966,0.5953216552734375,0.9576719576719577,36.05551275463989
>=75%,208,0.8880726007314829,0.8969650268554688,0.8173076923076923,20.0
