soft_distance_group,gcp_count,mean_distance_to_soft_m,median_distance_to_soft_m,mean_soft_ratio,median_soft_ratio
Group A (>100m),89,168.52592608734074,134.1640786499874,0.3722515320510007,0.3591461181640625
Group B (30-100m),398,53.46909078119344,50.0,0.4592296274463136,0.41524505615234375
Group C (<30m),362,16.06486692635216,14.142135623730953,0.6181499839487655,0.6113739013671875
