method,family,distance,grid_size,bits,quantization,weighting,search_radius_px,bytes_per_patch,compression_ratio,recall_0_5px,recall_1px,recall_2px,recall_5px,recall_at_1_0_5px,recall_at_1_1px,recall_at_1_5px,top1_matching_success_2px,recall_at_1_2px,integer_recall_1px,integer_recall_2px,recall_at_5_0_5px,recall_at_5_1px,recall_at_5_2px,recall_at_5_5px,rmse_px,median_error_px,p95_error_px,catastrophic_failure_rate_gt5px,catastrophic_failure_rate_gt10px,evaluated_pairs,failed_pairs
grid_mag_orientation_g8_m1_o0_e0_percentile_hamming_r64,grid_mag_orientation,hamming,8.0,1,percentile,uniform,64,8.0,8192.0,0.010596026490066225,0.04370860927152318,0.16423841059602648,0.5364238410596026,0.010596026490066225,0.04370860927152318,0.5364238410596026,0.16423841059602648,0.16423841059602648,0.03443708609271523,0.13245033112582782,0.046357615894039736,0.13509933774834437,0.43443708609271525,0.8278145695364238,12.223015144537998,4.685274855714833,20.894792720945684,0.46357615894039733,0.16026490066225166,755,0
grid_mag_orientation_g8_m1_o1_e0_percentile_hamming_r64,grid_mag_orientation,hamming,8.0,2,percentile,uniform,64,16.0,4096.0,0.04105960264900662,0.12317880794701987,0.33112582781456956,0.7788079470198676,0.04105960264900662,0.12317880794701987,0.7788079470198676,0.33112582781456956,0.33112582781456956,0.10860927152317881,0.2781456953642384,0.10596026490066225,0.28874172185430463,0.7086092715231788,0.9668874172185431,5.82764541147102,2.8436345362426856,9.133796865088769,0.22119205298013245,0.04105960264900662,755,0
haar_sign_g16_b1_median_uniform_hamming_r64,haar_sign,hamming,16.0,1,median,uniform,64,24.0,2730.6666666666665,0.176158940397351,0.42251655629139073,0.7827814569536424,0.9615894039735099,0.176158940397351,0.42251655629139073,0.9615894039735099,0.7827814569536424,0.7827814569536424,0.33774834437086093,0.7125827814569536,0.21986754966887417,0.56158940397351,0.9470198675496688,0.9867549668874173,6.75692063569588,1.1474388998655345,4.544046093820603,0.038410596026490065,0.019867549668874173,755,0
rank_transform_g16_b1_median_uniform_hamming_r64,rank_transform,hamming,16.0,1,median,uniform,64,32.0,2048.0,0.7165562913907285,0.8821192052980132,0.919205298013245,0.937748344370861,0.7165562913907285,0.8821192052980132,0.937748344370861,0.919205298013245,0.919205298013245,0.8291390728476821,0.9139072847682119,0.7231788079470198,0.8993377483443709,0.952317880794702,0.9655629139072848,11.32675101525548,0.2665841353317172,12.213654902660032,0.06225165562913907,0.051655629139072845,755,0
sobel_orientation_g16_b2_uniform_uniform_l1_r64,sobel_orientation,l1,16.0,2,uniform,uniform,64,64.0,1024.0,0.33112582781456956,0.6913907284768211,0.9218543046357616,0.9960264900662251,0.33112582781456956,0.6913907284768211,0.9960264900662251,0.9218543046357616,0.9218543046357616,0.5536423841059602,0.8927152317880794,0.34966887417218545,0.7788079470198676,0.9933774834437086,1.0,1.2948498940715838,0.7434265300437819,2.2514440890391847,0.003973509933774834,0.0013245033112582781,755,0
haar_sign_g32_b1_median_uniform_l2_r64,haar_sign,l2,32.0,1,median,uniform,64,96.0,682.6666666666666,0.7907284768211921,0.9629139072847682,0.9880794701986755,0.9920529801324504,0.7907284768211921,0.9629139072847682,0.9920529801324504,0.9880794701986755,0.9880794701986755,0.9152317880794701,0.9854304635761589,0.7933774834437086,0.9695364238410596,0.9960264900662251,0.9960264900662251,5.07981325067941,0.2476209207947878,0.9409395983930892,0.007947019867549669,0.006622516556291391,755,0
dct_sign_g32_b1_median_uniform_hamming_r64,dct_sign,hamming,32.0,1,median,uniform,64,128.0,512.0,0.752317880794702,0.9682119205298013,0.9986754966887417,1.0,0.752317880794702,0.9682119205298013,1.0,0.9986754966887417,0.9986754966887417,0.9019867549668874,0.9947019867549669,0.7549668874172185,0.9735099337748344,1.0,1.0,0.47137437445863634,0.2901700194108166,0.8831740099266909,0.0,0.0,755,0
grid_mag_orientation_g32_m1_o1_e0_percentile_hamming_r64,grid_mag_orientation,hamming,32.0,2,percentile,uniform,64,256.0,256.0,0.8993377483443709,0.9841059602649007,1.0,1.0,0.8993377483443709,0.9841059602649007,1.0,1.0,1.0,0.9509933774834437,0.9986754966887417,0.8993377483443709,0.9880794701986755,1.0,1.0,0.33603418539997654,0.1925779021774028,0.6508236152378387,0.0,0.0,755,0
