method,bytes_per_patch_legacy_A,compression_ratio_legacy_A,recall_0_5px_legacy_A,recall_1px_legacy_A,recall_2px_legacy_A,recall_5px_legacy_A,rmse_px_legacy_A,median_error_px_legacy_A,p95_error_px_legacy_A,catastrophic_failure_rate_gt5px_legacy_A,evaluated_pairs_legacy_A,bytes_per_patch_context_B,compression_ratio_context_B,recall_0_5px_context_B,recall_1px_context_B,recall_2px_context_B,recall_5px_context_B,rmse_px_context_B,median_error_px_context_B,p95_error_px_context_B,catastrophic_failure_rate_gt5px_context_B,evaluated_pairs_context_B,recall_0_5px_B_minus_A,recall_1px_B_minus_A,recall_2px_B_minus_A,recall_5px_B_minus_A,rmse_px_B_minus_A,median_error_px_B_minus_A,p95_error_px_B_minus_A,legacy_selection_leakage,interpretation_warning
rank_transform_g16_b1_median_uniform_hamming_r64,32.0,2048.0,0.6066666666666667,0.8133333333333334,0.91,0.95,4.933846587525775,0.4075712448546436,4.704947666200144,0.05,300,32.0,2048.0,0.7165562913907285,0.8821192052980132,0.919205298013245,0.937748344370861,11.32675101525548,0.2665841353317172,12.213654902660032,0.062251655629139,755,0.10988962472406183,0.06878587196467989,0.009205298013244989,-0.012251655629138991,6.392904427729706,-0.14098710952292637,7.508707236459888,True,Dataset A used strongly multi-temporally selected legacy points and is not an independent held-out benchmark.
sobel_orientation_g16_b2_uniform_uniform_l1_r64,64.0,1024.0,0.21333333333333335,0.53,0.8733333333333333,0.9866666666666667,1.4736717056622535,0.9550009247919558,2.6330065724355043,0.013333333333333334,300,64.0,1024.0,0.3311258278145695,0.6913907284768211,0.9218543046357616,0.9960264900662252,1.2948498940715838,0.7434265300437819,2.2514440890391847,0.0039735099337748,755,0.11779249448123616,0.16139072847682112,0.04852097130242827,0.009359823399558542,-0.17882181159066968,-0.21157439474817386,-0.3815624833963196,True,Dataset A used strongly multi-temporally selected legacy points and is not an independent held-out benchmark.
dct_sign_g32_b1_median_uniform_hamming_r64,128.0,512.0,0.64,0.9466666666666667,1.0,1.0,0.5459921641722328,0.3991598754347151,1.0278221520076625,0.0,300,128.0,512.0,0.752317880794702,0.9682119205298012,0.9986754966887416,1.0,0.4713743744586363,0.2901700194108166,0.8831740099266909,0.0,755,0.11231788079470195,0.02154525386313455,-0.0013245033112584403,0.0,-0.07461778971359656,-0.10898985602389849,-0.14464814208097154,True,Dataset A used strongly multi-temporally selected legacy points and is not an independent held-out benchmark.
sobel_mag_g32_b2_percentile_uniform_hamming_r64,256.0,256.0,0.5833333333333334,0.9333333333333333,0.9933333333333333,1.0,0.5897760288388854,0.39811179935730756,1.0384612997165834,0.0,300,256.0,256.0,0.7218543046357616,0.924503311258278,0.990728476821192,1.0,0.5539640449074382,0.2743726195923462,1.1718708933832536,0.0,755,0.13852097130242824,-0.008830022075055344,-0.0026048565121412626,0.0,-0.03581198393144713,-0.12373917976496135,0.13340959366667016,True,Dataset A used strongly multi-temporally selected legacy points and is not an independent held-out benchmark.
raw_ncc,65536.0,1.0,1.0,1.0,1.0,1.0,0.07060537761038246,0.06316324700747794,0.11237819292378097,0.0,300,65536.0,1.0,0.9986754966887416,1.0,1.0,1.0,0.0794854806243888,0.0581511787478331,0.1088782082161409,0.0,755,-0.0013245033112584403,0.0,0.0,0.0,0.008880103014006338,-0.005012068259644842,-0.003499984707640069,True,Dataset A used strongly multi-temporally selected legacy points and is not an independent held-out benchmark.
