method,family,distance,grid_size,bits,quantization,weighting,search_radius_px,bytes_per_patch,compression_ratio,recall_0_5px,recall_1px,recall_2px,recall_5px,recall_at_1_0_5px,recall_at_1_1px,recall_at_1_5px,top1_matching_success_2px,recall_at_1_2px,integer_recall_1px,integer_recall_2px,recall_at_5_0_5px,recall_at_5_1px,recall_at_5_2px,recall_at_5_5px,rmse_px,median_error_px,p95_error_px,catastrophic_failure_rate_gt5px,catastrophic_failure_rate_gt10px,evaluated_pairs,failed_pairs,budget_bytes
rank_transform_g16_b1_median_uniform_hamming_r64,rank_transform,hamming,16,1,median,uniform,64,32.0,2048.0,0.7165562913907285,0.8821192052980132,0.919205298013245,0.937748344370861,0.7165562913907285,0.8821192052980132,0.937748344370861,0.919205298013245,0.919205298013245,0.8291390728476821,0.913907284768212,0.7231788079470198,0.8993377483443709,0.952317880794702,0.9655629139072848,11.32675101525548,0.2665841353317172,12.213654902660032,0.062251655629139,0.0516556291390728,755,0,32
sobel_orientation_g16_b2_uniform_uniform_l1_r64,sobel_orientation,l1,16,2,uniform,uniform,64,64.0,1024.0,0.3311258278145695,0.6913907284768211,0.9218543046357616,0.9960264900662252,0.3311258278145695,0.6913907284768211,0.9960264900662252,0.9218543046357616,0.9218543046357616,0.5536423841059602,0.8927152317880794,0.3496688741721854,0.7788079470198676,0.9933774834437086,1.0,1.2948498940715838,0.7434265300437819,2.2514440890391847,0.0039735099337748,0.0013245033112582,755,0,64
dct_sign_g32_b1_median_uniform_hamming_r64,dct_sign,hamming,32,1,median,uniform,64,128.0,512.0,0.752317880794702,0.9682119205298012,0.9986754966887416,1.0,0.752317880794702,0.9682119205298012,1.0,0.9986754966887416,0.9986754966887416,0.9019867549668874,0.9947019867549668,0.7549668874172185,0.9735099337748344,1.0,1.0,0.4713743744586363,0.2901700194108166,0.8831740099266909,0.0,0.0,755,0,128
grid_mag_orientation_g32_m1_o1_e0_percentile_hamming_r64,grid_mag_orientation,hamming,32,2,percentile,uniform,64,256.0,256.0,0.8993377483443709,0.9841059602649008,1.0,1.0,0.8993377483443709,0.9841059602649008,1.0,1.0,1.0,0.9509933774834436,0.9986754966887416,0.8993377483443709,0.9880794701986756,1.0,1.0,0.3360341853999765,0.1925779021774028,0.6508236152378387,0.0,0.0,755,0,256
