method,family,distance,grid_size,bits,quantization,weighting,search_radius_px,bytes_per_patch,compression_ratio,recall_0_5px,recall_1px,recall_2px,recall_5px,recall_at_1_0_5px,recall_at_1_1px,recall_at_1_5px,top1_matching_success_2px,recall_at_1_2px,integer_recall_1px,integer_recall_2px,recall_at_5_0_5px,recall_at_5_1px,recall_at_5_2px,recall_at_5_5px,rmse_px,median_error_px,p95_error_px,catastrophic_failure_rate_gt5px,catastrophic_failure_rate_gt10px,evaluated_pairs,failed_pairs
rank_transform_g16_b1_median_uniform_hamming_r64,rank_transform,hamming,16,1,median,uniform,64,32.0,2048.0,0.7165562913907285,0.8821192052980132,0.919205298013245,0.937748344370861,0.7165562913907285,0.8821192052980132,0.937748344370861,0.919205298013245,0.919205298013245,0.8291390728476821,0.9139072847682119,0.7231788079470198,0.8993377483443709,0.952317880794702,0.9655629139072848,11.32675101525548,0.2665841353317172,12.213654902660032,0.06225165562913907,0.051655629139072845,755,0
rank_transform_g16_b1_median_gaussian_hamming_r64,rank_transform,hamming,16,1,median,gaussian,64,32.0,2048.0,0.7125827814569536,0.8754966887417218,0.9165562913907285,0.9403973509933775,0.7125827814569536,0.8754966887417218,0.9403973509933775,0.9165562913907285,0.9165562913907285,0.8225165562913908,0.9125827814569536,0.7205298013245033,0.8940397350993378,0.9496688741721855,0.9629139072847682,11.501550475385217,0.2794903804519684,11.232429087787828,0.059602649006622516,0.051655629139072845,755,0
rank_transform_g16_b1_median_ring_hamming_r64,rank_transform,hamming,16,1,median,ring,64,32.0,2048.0,0.7165562913907285,0.866225165562914,0.9152317880794701,0.9390728476821192,0.7165562913907285,0.866225165562914,0.9390728476821192,0.9152317880794701,0.9152317880794701,0.8198675496688742,0.9112582781456954,0.7245033112582782,0.8874172185430463,0.9496688741721855,0.9642384105960264,11.779318832664153,0.2860374526477349,11.240197080671948,0.060927152317880796,0.051655629139072845,755,0
mag_orientation_g16_b1_percentile_uniform_hamming_r64,mag_orientation,hamming,16,1,percentile,uniform,64,64.0,1024.0,0.3152317880794702,0.6556291390728477,0.9139072847682119,0.9973509933774835,0.3152317880794702,0.6556291390728477,0.9973509933774835,0.9139072847682119,0.9139072847682119,0.5178807947019868,0.8794701986754967,0.3390728476821192,0.7483443708609272,0.9933774834437086,1.0,1.213012205842182,0.7872667473754541,2.3118487405022905,0.0026490066225165563,0.0,755,0
mag_orientation_g16_b1_percentile_ring_hamming_r64,mag_orientation,hamming,16,1,percentile,ring,64,64.0,1024.0,0.2847682119205298,0.6105960264900663,0.9139072847682119,0.9933774834437086,0.2847682119205298,0.6105960264900663,0.9933774834437086,0.9139072847682119,0.9139072847682119,0.4794701986754967,0.8807947019867549,0.3072847682119205,0.7125827814569536,0.9920529801324504,1.0,1.2817750397532024,0.831004202827875,2.338644748771786,0.006622516556291391,0.0,755,0
mag_orientation_g16_b1_percentile_gaussian_hamming_r64,mag_orientation,hamming,16,1,percentile,gaussian,64,64.0,1024.0,0.295364238410596,0.6317880794701987,0.904635761589404,0.9960264900662251,0.295364238410596,0.6317880794701987,0.9960264900662251,0.904635761589404,0.904635761589404,0.4847682119205298,0.8781456953642384,0.3125827814569536,0.7231788079470198,0.9894039735099338,1.0,1.2571901034639545,0.8248855898357291,2.4077405264227894,0.003973509933774834,0.0,755,0
