method,family,distance,grid_size,bits,quantization,weighting,search_radius_px,bytes_per_patch,compression_ratio,recall_0_5px,recall_1px,recall_2px,recall_5px,recall_at_1_0_5px,recall_at_1_1px,recall_at_1_5px,top1_matching_success_2px,recall_at_1_2px,integer_recall_1px,integer_recall_2px,recall_at_5_0_5px,recall_at_5_1px,recall_at_5_2px,recall_at_5_5px,rmse_px,median_error_px,p95_error_px,catastrophic_failure_rate_gt5px,catastrophic_failure_rate_gt10px,evaluated_pairs,failed_pairs
census_sparse_g8_b1_median_uniform_hamming_r64,census_sparse,hamming,8,1,median,uniform,64,32.0,2048.0,0.10993377483443709,0.2768211920529801,0.5509933774834437,0.8119205298013245,0.10993377483443709,0.2768211920529801,0.8119205298013245,0.5509933774834437,0.5509933774834437,0.23576158940397351,0.5059602649006623,0.16556291390728478,0.4370860927152318,0.8105960264900662,0.9298013245033112,12.353147994355197,1.7860675549303806,18.328530946472327,0.1880794701986755,0.09006622516556291,755,0
census3_g8_b1_median_uniform_hamming_r64,census3,hamming,8,1,median,uniform,64,64.0,1024.0,0.12317880794701987,0.352317880794702,0.6172185430463576,0.8490066225165563,0.12317880794701987,0.352317880794702,0.8490066225165563,0.6172185430463576,0.6172185430463576,0.26887417218543047,0.5655629139072847,0.1814569536423841,0.5311258278145695,0.8503311258278146,0.9403973509933775,13.18991834954173,1.5244485713563405,18.10792941985656,0.1509933774834437,0.0781456953642384,755,0
census_sparse_g16_b1_median_uniform_hamming_r64,census_sparse,hamming,16,1,median,uniform,64,128.0,512.0,0.5668874172185431,0.8622516556291391,0.9615894039735099,0.9841059602649007,0.5668874172185431,0.8622516556291391,0.9841059602649007,0.9615894039735099,0.9615894039735099,0.7549668874172185,0.9496688741721855,0.5708609271523178,0.8834437086092716,0.9814569536423841,0.9867549668874173,7.172785211951884,0.4224160798961869,1.6967647661135685,0.015894039735099338,0.01456953642384106,755,0
census_multiscale_g8_b1_median_uniform_hamming_r64,census_multiscale,hamming,8,1,median,uniform,64,128.0,512.0,0.2582781456953642,0.5933774834437087,0.8211920529801324,0.9417218543046357,0.2582781456953642,0.5933774834437087,0.9417218543046357,0.8211920529801324,0.8211920529801324,0.4688741721854305,0.7867549668874172,0.2860927152317881,0.6993377483443709,0.9337748344370861,0.9708609271523179,8.341406333021139,0.8629143909954379,5.933836184136414,0.05827814569536424,0.033112582781456956,755,0
census5_g8_b1_median_uniform_hamming_r64,census5,hamming,8,1,median,uniform,64,192.0,341.3333333333333,0.30066225165562915,0.5986754966887418,0.8105960264900662,0.9364238410596026,0.30066225165562915,0.5986754966887418,0.9364238410596026,0.8105960264900662,0.8105960264900662,0.5059602649006623,0.7880794701986755,0.32847682119205296,0.6980132450331126,0.9205298013245033,0.9655629139072848,9.147311308050659,0.8016723820665819,8.265136844668028,0.06357615894039735,0.04105960264900662,755,0
census3_g16_b1_median_uniform_hamming_r64,census3,hamming,16,1,median,uniform,64,256.0,256.0,0.7245033112582782,0.9218543046357616,0.9642384105960264,0.9774834437086093,0.7245033112582782,0.9218543046357616,0.9774834437086093,0.9642384105960264,0.9642384105960264,0.8609271523178808,0.9589403973509933,0.7271523178807947,0.9430463576158941,0.9841059602649007,0.9880794701986755,8.077446385988559,0.2806909873469303,1.3937302546544337,0.022516556291390728,0.02119205298013245,755,0
