method,model,threshold_px,scene_count,total_matches,raw_inlier_ratio,ransac_inlier_ratio,raw_rmse_px,reprojection_rmse_px,reprojection_p95_px,rejected_catastrophic_matches,catastrophic_matches,scene_success_count,scene_success_rate,minimum_scene_matches
dct_sign_g32_b1_median_uniform_hamming_r64,translation,0.5,3,753,0.7543160690571049,0.7808764940239044,0.4633741673493302,0.13756823867636186,0.21438177414273038,0,0,3,1.0,10
dct_sign_g32_b1_median_uniform_hamming_r64,translation,1.0,3,753,0.9707835325365206,0.9734395750332006,0.4633741673493302,0.1492392700986643,0.22316635877020613,0,0,3,1.0,10
dct_sign_g32_b1_median_uniform_hamming_r64,translation,2.0,3,753,0.99867197875166,1.0,0.4633741673493302,0.16236954002455667,0.23241499428388457,0,0,3,1.0,10
dct_sign_g32_b1_median_uniform_hamming_r64,translation,3.0,3,753,1.0,1.0,0.4633741673493302,0.16236954002455667,0.23241499428388457,0,0,3,1.0,10
dct_sign_g32_b1_median_uniform_hamming_r64,affine,0.5,3,753,0.7543160690571049,0.7211155378486056,0.4633741673493302,1.9383642607353662,0.8270354603207763,0,0,2,0.6666666666666666,10
dct_sign_g32_b1_median_uniform_hamming_r64,affine,1.0,3,753,0.9707835325365206,0.9601593625498008,0.4633741673493302,0.26323608926319486,0.40970147491220876,0,0,3,1.0,10
dct_sign_g32_b1_median_uniform_hamming_r64,affine,2.0,3,753,0.99867197875166,0.99734395750332,0.4633741673493302,0.2534815263904915,0.3948328021463905,0,0,3,1.0,10
dct_sign_g32_b1_median_uniform_hamming_r64,affine,3.0,3,753,1.0,0.9946879150066401,0.4633741673493302,0.4778819918003344,0.6788020097764774,0,0,3,1.0,10
dct_sign_g32_b1_median_uniform_hamming_r64,homography,0.5,3,753,0.7543160690571049,0.7383798140770252,0.4633741673493302,2.8184409281641902,0.9011125043270801,0,0,2,0.6666666666666666,10
dct_sign_g32_b1_median_uniform_hamming_r64,homography,1.0,3,753,0.9707835325365206,0.9681274900398407,0.4633741673493302,3.632646524078008,0.96192942911883,0,0,2,0.6666666666666666,10
dct_sign_g32_b1_median_uniform_hamming_r64,homography,2.0,3,753,0.99867197875166,0.99734395750332,0.4633741673493302,1.1214585265514423,0.5689070401488378,0,0,2,0.6666666666666666,10
dct_sign_g32_b1_median_uniform_hamming_r64,homography,3.0,3,753,1.0,0.99867197875166,0.4633741673493302,0.36851153670961484,0.3858223705414669,0,0,2,0.6666666666666666,10
grid_mag_orientation_g32_m1_o1_e0_percentile_hamming_r64,translation,0.5,3,753,0.9017264276228419,0.9083665338645418,0.332818389570166,0.10714112714727735,0.17473457216530064,0,0,3,1.0,10
grid_mag_orientation_g32_m1_o1_e0_percentile_hamming_r64,translation,1.0,3,753,0.9853917662682603,0.9893758300132802,0.332818389570166,0.10894866501953422,0.17429107744749364,0,0,3,1.0,10
grid_mag_orientation_g32_m1_o1_e0_percentile_hamming_r64,translation,2.0,3,753,1.0,1.0,0.332818389570166,0.10929277488466133,0.1741052414841208,0,0,3,1.0,10
grid_mag_orientation_g32_m1_o1_e0_percentile_hamming_r64,translation,3.0,3,753,1.0,1.0,0.332818389570166,0.10929277488466133,0.1741052414841208,0,0,3,1.0,10
grid_mag_orientation_g32_m1_o1_e0_percentile_hamming_r64,affine,0.5,3,753,0.9017264276228419,0.8884462151394422,0.332818389570166,0.4055132694636309,0.3979235410421979,0,0,2,0.6666666666666666,10
grid_mag_orientation_g32_m1_o1_e0_percentile_hamming_r64,affine,1.0,3,753,0.9853917662682603,0.9747675962815405,0.332818389570166,0.2227207278910652,0.3662322537913236,0,0,3,1.0,10
grid_mag_orientation_g32_m1_o1_e0_percentile_hamming_r64,affine,2.0,3,753,1.0,1.0,0.332818389570166,0.1713200744306271,0.2825160398306664,0,0,3,1.0,10
grid_mag_orientation_g32_m1_o1_e0_percentile_hamming_r64,affine,3.0,3,753,1.0,0.99867197875166,0.332818389570166,0.5384146655915607,0.8898655656830046,0,0,3,1.0,10
grid_mag_orientation_g32_m1_o1_e0_percentile_hamming_r64,homography,0.5,3,753,0.9017264276228419,0.9043824701195219,0.332818389570166,0.5954543738064109,0.3291485622155314,0,0,2,0.6666666666666666,10
grid_mag_orientation_g32_m1_o1_e0_percentile_hamming_r64,homography,1.0,3,753,0.9853917662682603,0.9840637450199203,0.332818389570166,2.230818219570156,0.581793005197708,0,0,2,0.6666666666666666,10
grid_mag_orientation_g32_m1_o1_e0_percentile_hamming_r64,homography,2.0,3,753,1.0,0.99867197875166,0.332818389570166,0.20598423469130486,0.21958467475519602,0,0,3,1.0,10
grid_mag_orientation_g32_m1_o1_e0_percentile_hamming_r64,homography,3.0,3,753,1.0,0.99867197875166,0.332818389570166,0.24566699064260164,0.35047006156292787,0,0,3,1.0,10
rank_transform_g16_b1_median_uniform_hamming_r64,translation,0.5,3,753,0.7184594953519257,0.7211155378486056,11.328422442683799,0.20730678676540146,0.1767574743403811,46,46,3,1.0,10
rank_transform_g16_b1_median_uniform_hamming_r64,translation,1.0,3,753,0.8844621513944223,0.8844621513944223,11.328422442683799,0.20821936310648995,0.18258970247125206,46,46,3,1.0,10
rank_transform_g16_b1_median_uniform_hamming_r64,translation,2.0,3,753,0.9203187250996016,0.9216467463479415,11.328422442683799,0.2081231392964973,0.1853879028568682,46,46,3,1.0,10
rank_transform_g16_b1_median_uniform_hamming_r64,translation,3.0,3,753,0.9243027888446215,0.9229747675962815,11.328422442683799,0.20829073451185692,0.1857254816604783,46,46,3,1.0,10
