method,family,distance,grid_size,bits,quantization,weighting,search_radius_px,bytes_per_patch,compression_ratio,recall_0_5px,recall_1px,recall_2px,recall_5px,recall_at_1_0_5px,recall_at_1_1px,recall_at_1_5px,top1_matching_success_2px,recall_at_1_2px,integer_recall_1px,integer_recall_2px,recall_at_5_0_5px,recall_at_5_1px,recall_at_5_2px,recall_at_5_5px,rmse_px,median_error_px,p95_error_px,catastrophic_failure_rate_gt5px,catastrophic_failure_rate_gt10px,evaluated_pairs,failed_pairs
allocation_adaptive_scharr_g16_k64_64B_mask_aware_hamming_r64,spatial_bit_allocation,mask_aware_hamming,16,4,adaptive_topk_4bit,adaptive_strength,64,64.0,1024.0,0.1403973509933775,0.36688741721854307,0.7364238410596027,0.9814569536423841,0.1403973509933775,0.36688741721854307,0.9814569536423841,0.7364238410596027,0.7364238410596027,0.3086092715231788,0.6821192052980133,0.18675496688741722,0.5231788079470199,0.9549668874172186,0.9933774834437086,4.171034660649807,1.1924784649852598,3.6670083272003717,0.018543046357615896,0.007947019867549669,755,0
allocation_foveated_scharr_g16_64B_packed_hamming_r64,spatial_bit_allocation,packed_hamming,16,mixed,mixed_1_4bit,fixed_center_bits,64,64.0,1024.0,0.12980132450331125,0.3125827814569536,0.6582781456953642,0.9509933774834437,0.12980132450331125,0.3125827814569536,0.9509933774834437,0.6582781456953642,0.6582781456953642,0.2543046357615894,0.5880794701986755,0.18543046357615894,0.4781456953642384,0.9165562913907285,0.990728476821192,5.160798864163035,1.4513683862000917,4.925873386330817,0.04900662251655629,0.013245033112582781,755,0
allocation_adaptive_scharr_g16_k192_128B_mask_aware_hamming_r64,spatial_bit_allocation,mask_aware_hamming,16,4,adaptive_topk_4bit,adaptive_strength,64,128.0,512.0,0.1562913907284768,0.42649006622516555,0.7615894039735099,0.9682119205298013,0.1562913907284768,0.42649006622516555,0.9682119205298013,0.7615894039735099,0.7615894039735099,0.36026490066225164,0.6966887417218544,0.2,0.5655629139072847,0.9470198675496688,0.9960264900662251,3.425839190578861,1.1498046441609149,4.05523322240533,0.031788079470198675,0.003973509933774834,755,0
