method,family,distance,grid_size,bits,quantization,weighting,search_radius_px,bytes_per_patch,compression_ratio,recall_0_5px,recall_1px,recall_2px,recall_5px,recall_at_1_0_5px,recall_at_1_1px,recall_at_1_5px,top1_matching_success_2px,recall_at_1_2px,integer_recall_1px,integer_recall_2px,recall_at_5_0_5px,recall_at_5_1px,recall_at_5_2px,recall_at_5_5px,rmse_px,median_error_px,p95_error_px,catastrophic_failure_rate_gt5px,catastrophic_failure_rate_gt10px,evaluated_pairs,failed_pairs
jpeg2000_q100,baseline,ncc,,,,,64,6445.107284768212,10.168333451156338,0.9986754966887417,1.0,1.0,1.0,0.9986754966887417,1.0,1.0,1.0,1.0,1.0,1.0,0.9986754966887417,1.0,1.0,1.0,0.0928391836648391,0.0694977398554234,0.12920915018196324,0.0,0.0,755,0
webp_q30,baseline,ncc,,,,,64,11659.486092715231,5.620830925039351,0.9986754966887417,1.0,1.0,1.0,0.9986754966887417,1.0,1.0,1.0,1.0,1.0,1.0,0.9986754966887417,1.0,1.0,1.0,0.08860693223046989,0.0648114392831862,0.11704319030234843,0.0,0.0,755,0
webp_q50,baseline,ncc,,,,,64,14869.838410596027,4.407310838919408,0.9986754966887417,1.0,1.0,1.0,0.9986754966887417,1.0,1.0,1.0,1.0,1.0,1.0,0.9986754966887417,1.0,1.0,1.0,0.08371456953752845,0.0615944972863175,0.1144074901880105,0.0,0.0,755,0
jpeg2000_q250,baseline,ncc,,,,,64,16275.544370860927,4.026654869826228,0.9986754966887417,1.0,1.0,1.0,0.9986754966887417,1.0,1.0,1.0,1.0,1.0,1.0,0.9986754966887417,1.0,1.0,1.0,0.08041621486872841,0.059169690967949,0.11219864070516682,0.0,0.0,755,0
jpeg2000_q500,baseline,ncc,,,,,64,32539.64105960265,2.0140357381311653,0.9986754966887417,1.0,1.0,1.0,0.9986754966887417,1.0,1.0,1.0,1.0,1.0,1.0,0.9986754966887417,1.0,1.0,1.0,0.0790812608318906,0.0577160607889103,0.10854352250808753,0.0,0.0,755,0
jpeg2000_q1000,baseline,ncc,,,,,64,50973.54172185431,1.2856866089001269,0.9986754966887417,1.0,1.0,1.0,0.9986754966887417,1.0,1.0,1.0,1.0,1.0,1.0,0.9986754966887417,1.0,1.0,1.0,0.07948548062438882,0.0581511787478331,0.1088782082161409,0.0,0.0,755,0
raw_ncc,baseline,ncc,,,,,64,65536.0,1.0,0.9986754966887417,1.0,1.0,1.0,0.9986754966887417,1.0,1.0,1.0,1.0,1.0,1.0,0.9986754966887417,1.0,1.0,1.0,0.07948548062438882,0.0581511787478331,0.1088782082161409,0.0,0.0,755,0
orb,baseline,orb,,,,,64,134751.42781456953,0.4863473512888013,0.8516556291390729,0.9258278145695364,0.9562913907284768,0.9682119205298013,0.8516556291390729,0.9258278145695364,0.9682119205298013,0.9562913907284768,0.9562913907284768,0.9258278145695364,0.9562913907284768,0.8516556291390729,0.9258278145695364,0.9562913907284768,0.9682119205298013,26.164609181488746,0.2258414426401836,1.6960334079673196,0.031788079470198675,0.02781456953642384,755,0
sift,baseline,sift,,,,,64,762544.8370860927,0.08594379872852102,0.9668874172185431,0.9748344370860927,0.976158940397351,0.9774834437086093,0.9668874172185431,0.9748344370860927,0.9774834437086093,0.976158940397351,0.976158940397351,0.9748344370860927,0.976158940397351,0.9668874172185431,0.9748344370860927,0.976158940397351,0.9774834437086093,22.88956795874394,0.1139694925978837,0.3384687128974772,0.022516556291390728,0.02119205298013245,755,0
