method,family,distance,grid_size,bits,quantization,weighting,search_radius_px,bytes_per_patch,compression_ratio,recall_0_5px,recall_1px,recall_2px,recall_5px,recall_at_1_0_5px,recall_at_1_1px,recall_at_1_5px,top1_matching_success_2px,recall_at_1_2px,integer_recall_1px,integer_recall_2px,recall_at_5_0_5px,recall_at_5_1px,recall_at_5_2px,recall_at_5_5px,rmse_px,median_error_px,p95_error_px,catastrophic_failure_rate_gt5px,catastrophic_failure_rate_gt10px,evaluated_pairs,failed_pairs
census3_g8_b1_median_uniform_hamming_r64,census3,hamming,8,1,median,uniform,64,64.0,1024.0,0.12317880794701987,0.352317880794702,0.6172185430463576,0.8490066225165563,0.12317880794701987,0.352317880794702,0.8490066225165563,0.6172185430463576,0.6172185430463576,0.26887417218543047,0.5655629139072847,0.1814569536423841,0.5311258278145695,0.8503311258278146,0.9403973509933775,13.18991834954173,1.5244485713563405,18.10792941985656,0.1509933774834437,0.0781456953642384,755,0
census3_g8_b1_median_uniform_l1_r64,census3,l1,8,1,median,uniform,64,64.0,1024.0,0.12317880794701987,0.352317880794702,0.6172185430463576,0.8490066225165563,0.12317880794701987,0.352317880794702,0.8490066225165563,0.6172185430463576,0.6172185430463576,0.26887417218543047,0.5655629139072847,0.1814569536423841,0.5311258278145695,0.8503311258278146,0.9403973509933775,13.18991834954173,1.5244485713563405,18.10792941985656,0.1509933774834437,0.0781456953642384,755,0
census3_g8_b1_median_uniform_l2_r64,census3,l2,8,1,median,uniform,64,64.0,1024.0,0.12450331125827814,0.352317880794702,0.6172185430463576,0.8490066225165563,0.12450331125827814,0.352317880794702,0.8490066225165563,0.6172185430463576,0.6172185430463576,0.26887417218543047,0.5655629139072847,0.1827814569536424,0.5311258278145695,0.8490066225165563,0.9403973509933775,13.190162863852466,1.524285736431208,18.107200080718563,0.1509933774834437,0.0781456953642384,755,0
census3_g8_b1_median_uniform_cosine_r64,census3,cosine,8,1,median,uniform,64,64.0,1024.0,0.10993377483443709,0.304635761589404,0.6066225165562914,0.8529801324503311,0.10993377483443709,0.304635761589404,0.8529801324503311,0.6066225165562914,0.6066225165562914,0.2251655629139073,0.552317880794702,0.15496688741721854,0.48344370860927155,0.8635761589403973,0.952317880794702,9.775728843099051,1.5924730732527768,13.04312601098371,0.14701986754966886,0.07019867549668875,755,0
haar_sign_g32_b1_median_uniform_hamming_r64,haar_sign,hamming,32,1,median,uniform,64,96.0,682.6666666666666,0.7907284768211921,0.9629139072847682,0.9880794701986755,0.9920529801324504,0.7907284768211921,0.9629139072847682,0.9920529801324504,0.9880794701986755,0.9880794701986755,0.9152317880794701,0.9854304635761589,0.7933774834437086,0.9695364238410596,0.9960264900662251,0.9960264900662251,5.079828118772528,0.2520620656542021,0.938865951616101,0.007947019867549669,0.006622516556291391,755,0
haar_sign_g32_b1_median_uniform_l1_r64,haar_sign,l1,32,1,median,uniform,64,96.0,682.6666666666666,0.7907284768211921,0.9629139072847682,0.9880794701986755,0.9920529801324504,0.7907284768211921,0.9629139072847682,0.9920529801324504,0.9880794701986755,0.9880794701986755,0.9152317880794701,0.9854304635761589,0.7933774834437086,0.9695364238410596,0.9960264900662251,0.9960264900662251,5.079828118772528,0.2520620656542021,0.938865951616101,0.007947019867549669,0.006622516556291391,755,0
haar_sign_g32_b1_median_uniform_l2_r64,haar_sign,l2,32,1,median,uniform,64,96.0,682.6666666666666,0.7907284768211921,0.9629139072847682,0.9880794701986755,0.9920529801324504,0.7907284768211921,0.9629139072847682,0.9920529801324504,0.9880794701986755,0.9880794701986755,0.9152317880794701,0.9854304635761589,0.7933774834437086,0.9695364238410596,0.9960264900662251,0.9960264900662251,5.07981325067941,0.2476209207947878,0.9409395983930892,0.007947019867549669,0.006622516556291391,755,0
haar_sign_g32_b1_median_uniform_cosine_r64,haar_sign,cosine,32,1,median,uniform,64,96.0,682.6666666666666,0.7695364238410596,0.9496688741721855,0.9854304635761589,0.990728476821192,0.7695364238410596,0.9496688741721855,0.990728476821192,0.9854304635761589,0.9854304635761589,0.9086092715231788,0.9827814569536424,0.7721854304635761,0.9602649006622517,0.9933774834437086,0.9947019867549669,4.6601041393421605,0.2602358512192841,0.9979645116080453,0.009271523178807948,0.007947019867549669,755,0
mag_orientation_g16_b2_percentile_uniform_l1_r64,mag_orientation,l1,16,2,percentile,uniform,64,128.0,512.0,0.37880794701986753,0.7774834437086092,0.9509933774834437,1.0,0.37880794701986753,0.7774834437086092,1.0,0.9509933774834437,0.9509933774834437,0.6251655629139072,0.9231788079470199,0.3920529801324503,0.8278145695364238,0.9947019867549669,1.0,0.9807438910911546,0.6228830026057628,1.9753231626732288,0.0,0.0,755,0
mag_orientation_g16_b2_percentile_uniform_hamming_r64,mag_orientation,hamming,16,2,percentile,uniform,64,128.0,512.0,0.34701986754966885,0.7298013245033113,0.9298013245033112,0.9973509933774835,0.34701986754966885,0.7298013245033113,0.9973509933774835,0.9298013245033112,0.9298013245033112,0.5827814569536424,0.9006622516556292,0.36688741721854307,0.7960264900662252,0.990728476821192,1.0,1.1552536867319108,0.7066766826933337,2.2130928946060417,0.0026490066225165563,0.0,755,0
mag_orientation_g16_b2_percentile_uniform_cosine_r64,mag_orientation,cosine,16,2,percentile,uniform,64,128.0,512.0,0.2582781456953642,0.5986754966887418,0.895364238410596,0.9960264900662251,0.2582781456953642,0.5986754966887418,0.9960264900662251,0.895364238410596,0.895364238410596,0.4675496688741722,0.8596026490066225,0.2900662251655629,0.7099337748344371,0.990728476821192,1.0,1.31320924962627,0.8519966844070967,2.262302814611218,0.003973509933774834,0.0,755,0
mag_orientation_g16_b2_percentile_uniform_l2_r64,mag_orientation,l2,16,2,percentile,uniform,64,128.0,512.0,0.25298013245033113,0.6066225165562914,0.8940397350993378,0.9960264900662251,0.25298013245033113,0.6066225165562914,0.9960264900662251,0.8940397350993378,0.8940397350993378,0.48344370860927155,0.856953642384106,0.2847682119205298,0.7192052980132451,0.9920529801324504,1.0,1.3112367369536966,0.8405074820937876,2.3626058158295535,0.003973509933774834,0.0,755,0
