method,method_label_cn,requested_pool_size,soft_ratio_bin,gcp_count,gcp_reuse_at_1,gcp_reuse_at_5,mrr,median_margin,candidate_coverage_5px
raw_ncc,原始灰度 NCC,100,10-25%,78,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.6826233863830566,0.02564102564102564
raw_ncc,原始灰度 NCC,500,10-25%,78,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.6551572680473328,0.038461538461538464
raw_ncc,原始灰度 NCC,1000,10-25%,78,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.4181382358074188,0.07692307692307693
raw_ncc,原始灰度 NCC,5000,10-25%,78,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.25875431299209595,0.2692307692307692
raw_ncc,原始灰度 NCC,100,25-50%,198,0.005050505050505051,0.005050505050505051,0.005050505050505051,0.6747615933418274,0.005050505050505051
raw_ncc,原始灰度 NCC,500,25-50%,198,0.025252525252525252,0.025252525252525252,0.025252525252525252,0.5065694451332092,0.025252525252525252
raw_ncc,原始灰度 NCC,1000,25-50%,198,0.07575757575757576,0.07575757575757576,0.07575757575757576,0.48278188705444336,0.07575757575757576
raw_ncc,原始灰度 NCC,5000,25-50%,198,0.25757575757575757,0.26262626262626265,0.2601010101010101,0.4134683907032013,0.26262626262626265
raw_ncc,原始灰度 NCC,100,50-75%,148,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.48732438683509827,0.05405405405405406
raw_ncc,原始灰度 NCC,500,50-75%,148,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.4738670289516449,0.06756756756756757
raw_ncc,原始灰度 NCC,1000,50-75%,148,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.44170504808425903,0.06756756756756757
raw_ncc,原始灰度 NCC,5000,50-75%,148,0.2635135135135135,0.2635135135135135,0.2635135135135135,0.47088807821273804,0.2635135135135135
raw_ncc,原始灰度 NCC,100,>=75%,239,0.07531380753138076,0.07531380753138076,0.07531380753138076,0.39622312784194946,0.07531380753138076
raw_ncc,原始灰度 NCC,500,>=75%,239,0.15481171548117154,0.15481171548117154,0.15481171548117154,0.3738941550254822,0.15481171548117154
raw_ncc,原始灰度 NCC,1000,>=75%,239,0.17573221757322174,0.1799163179916318,0.17656903765690377,0.30938106775283813,0.1799163179916318
raw_ncc,原始灰度 NCC,5000,>=75%,239,0.2803347280334728,0.2803347280334728,0.2805671780567178,0.2926180362701416,0.28451882845188287
raw_ncc,原始灰度 NCC,100,0-10%,3,0.0,0.0,0.0,,0.0
raw_ncc,原始灰度 NCC,500,0-10%,3,0.0,0.0,0.0,,0.0
raw_ncc,原始灰度 NCC,1000,0-10%,3,0.0,0.0,0.0,,0.0
raw_ncc,原始灰度 NCC,5000,0-10%,3,0.0,0.0,0.0,,0.0
webp_q30_ncc,WebP Q30 + NCC,100,10-25%,78,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.6784047186374664,0.02564102564102564
webp_q30_ncc,WebP Q30 + NCC,500,10-25%,78,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.6504179239273071,0.038461538461538464
webp_q30_ncc,WebP Q30 + NCC,1000,10-25%,78,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.41475075483322144,0.07692307692307693
webp_q30_ncc,WebP Q30 + NCC,5000,10-25%,78,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.2594813108444214,0.2692307692307692
webp_q30_ncc,WebP Q30 + NCC,100,25-50%,198,0.005050505050505051,0.005050505050505051,0.005050505050505051,0.6714415550231934,0.005050505050505051
webp_q30_ncc,WebP Q30 + NCC,500,25-50%,198,0.025252525252525252,0.025252525252525252,0.025252525252525252,0.4999029040336609,0.025252525252525252
webp_q30_ncc,WebP Q30 + NCC,1000,25-50%,198,0.07575757575757576,0.07575757575757576,0.07575757575757576,0.4822908043861389,0.07575757575757576
webp_q30_ncc,WebP Q30 + NCC,5000,25-50%,198,0.25757575757575757,0.26262626262626265,0.2601010101010101,0.4119148552417755,0.26262626262626265
