method,method_label_cn,candidate_pool_size,target_year,paired_gcp_count,gcp_reuse_at_1,gcp_reuse_at_5,gcp_reuse_at_10,mrr,candidate_coverage_rate_5px
raw_ncc,原始灰度 NCC,100,2025,194,0.06701030927835051,0.06701030927835051,0.06701030927835051,0.06701030927835051,0.06701030927835051
raw_ncc,原始灰度 NCC,500,2025,194,0.12886597938144329,0.12886597938144329,0.12886597938144329,0.12886597938144329,0.12886597938144329
raw_ncc,原始灰度 NCC,1000,2025,194,0.15463917525773196,0.15979381443298968,0.15979381443298968,0.1556701030927835,0.15979381443298968
raw_ncc,原始灰度 NCC,5000,2025,194,0.3711340206185567,0.3711340206185567,0.3711340206185567,0.3714203894616266,0.37628865979381443
webp_q30_ncc,WebP Q30 + NCC,100,2025,194,0.06701030927835051,0.06701030927835051,0.06701030927835051,0.06701030927835051,0.06701030927835051
webp_q30_ncc,WebP Q30 + NCC,500,2025,194,0.12886597938144329,0.12886597938144329,0.12886597938144329,0.12886597938144329,0.12886597938144329
webp_q30_ncc,WebP Q30 + NCC,1000,2025,194,0.15463917525773196,0.15979381443298968,0.15979381443298968,0.1556701030927835,0.15979381443298968
webp_q30_ncc,WebP Q30 + NCC,5000,2025,194,0.3711340206185567,0.3711340206185567,0.3711340206185567,0.3713794796269023,0.37628865979381443
jpeg2000_100_ncc,JPEG2000 100 + NCC,100,2025,194,0.06701030927835051,0.06701030927835051,0.06701030927835051,0.06701030927835051,0.06701030927835051
jpeg2000_100_ncc,JPEG2000 100 + NCC,500,2025,194,0.12886597938144329,0.12886597938144329,0.12886597938144329,0.12886597938144329,0.12886597938144329
jpeg2000_100_ncc,JPEG2000 100 + NCC,1000,2025,194,0.15463917525773196,0.15979381443298968,0.15979381443298968,0.1556701030927835,0.15979381443298968
jpeg2000_100_ncc,JPEG2000 100 + NCC,5000,2025,194,0.3711340206185567,0.3711340206185567,0.3711340206185567,0.3713181148748159,0.37628865979381443
compact_32B_rank_hamming,32 B Rank/Hamming,100,2025,194,0.05670103092783505,0.061855670103092786,0.061855670103092786,0.05964653902798232,0.06701030927835051
