method,method_label_cn,model,threshold_px,attempted_gcps,ransac_eligible_gcps,ransac_ineligible_gcps,raw_reuse_at_1,verified_gcp_count,geometrically_verified_reuse_rate,wrong_matches_rejected,wrong_matches_retained,geometry_reprojection_rmse_px,scene_count,global_denominator_includes_noneligible_scenes,ransac_used_for_candidate_ranking
compact_32B_rank_hamming,32 B Rank/Hamming,translation,0.5,666,655,11,0.09309309309309309,12,0.018018018018018018,596,0,222.28423629730847,4,True,False
compact_32B_rank_hamming,32 B Rank/Hamming,translation,1.0,666,655,11,0.09309309309309309,33,0.04954954954954955,596,0,222.28423629730847,4,True,False
compact_32B_rank_hamming,32 B Rank/Hamming,translation,2.0,666,655,11,0.09309309309309309,42,0.06306306306306306,596,0,222.28423629730847,4,True,False
compact_32B_rank_hamming,32 B Rank/Hamming,translation,3.0,666,655,11,0.09309309309309309,44,0.06606606606606606,596,0,222.28423629730847,4,True,False
compact_32B_rank_hamming,32 B Rank/Hamming,affine,0.5,666,655,11,0.09309309309309309,16,0.024024024024024024,590,6,3514.629652949642,4,True,False
compact_32B_rank_hamming,32 B Rank/Hamming,affine,1.0,666,655,11,0.09309309309309309,29,0.04354354354354354,590,6,3514.3349387037865,4,True,False
compact_32B_rank_hamming,32 B Rank/Hamming,affine,2.0,666,655,11,0.09309309309309309,39,0.05855855855855856,590,6,3514.7191146077644,4,True,False
compact_32B_rank_hamming,32 B Rank/Hamming,affine,3.0,666,655,11,0.09309309309309309,44,0.06606606606606606,590,6,3514.6127342646714,4,True,False
compact_32B_rank_hamming,32 B Rank/Hamming,homography,0.5,666,655,11,0.09309309309309309,15,0.02252252252252252,589,7,5159.089962779537,4,True,False
compact_32B_rank_hamming,32 B Rank/Hamming,homography,1.0,666,655,11,0.09309309309309309,19,0.028528528528528527,589,7,5159.154403018108,4,True,False
compact_32B_rank_hamming,32 B Rank/Hamming,homography,2.0,666,655,11,0.09309309309309309,40,0.06006006006006006,587,9,1279.251890838516,4,True,False
compact_32B_rank_hamming,32 B Rank/Hamming,homography,3.0,666,655,11,0.09309309309309309,41,0.06156156156156156,587,9,1280.0920279521924,4,True,False
compact_64B_orientation_l1,64 B 方向/L1,translation,0.5,666,655,11,0.1111111111111111,0,0.0,586,0,369.56987808963487,4,True,False
compact_64B_orientation_l1,64 B 方向/L1,translation,1.0,666,655,11,0.1111111111111111,0,0.0,586,0,369.56987808963487,4,True,False
compact_64B_orientation_l1,64 B 方向/L1,translation,2.0,666,655,11,0.1111111111111111,0,0.0,586,0,369.56987808963487,4,True,False
compact_64B_orientation_l1,64 B 方向/L1,translation,3.0,666,655,11,0.1111111111111111,0,0.0,586,0,369.56987808963487,4,True,False
